Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:37,2018-11-22 09:41:37,0.141s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:41:37,2018-11-22 09:41:38,0.357s,PASSED
,,,,,,
Test Cases/Sections/Data Label Number Formatting,Firefox 63.0,,2018-11-22 09:41:38,2018-11-22 09:41:45,7.375s,PASSED
com.powerbi.components.ChartSelect.showSetting,Firefox 63.0,,2018-11-22 09:41:38,2018-11-22 09:41:39,0.647s,PASSED
delay,Firefox 63.0,,2018-11-22 09:41:39,2018-11-22 09:41:41,2.001s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:41,2018-11-22 09:41:41,0.120s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:41,2018-11-22 09:41:41,0.223s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:41,2018-11-22 09:41:41,0.167s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:41:41,2018-11-22 09:41:42,1.237s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:42,2018-11-22 09:41:43,0.394s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:43,2018-11-22 09:41:43,0.167s,PASSED
click,Firefox 63.0,,2018-11-22 09:41:43,2018-11-22 09:41:44,1.092s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:41:44,2018-11-22 09:41:45,1.060s,PASSED
,,,,,,
Test Cases/Sections/Tooltip Number Formatting,Firefox 63.0,,2018-11-22 09:41:45,2018-11-22 09:41:51,5.803s,PASSED
com.powerbi.components.ChartSelect.showSetting,Firefox 63.0,,2018-11-22 09:41:45,2018-11-22 09:41:46,0.617s,PASSED
delay,Firefox 63.0,,2018-11-22 09:41:46,2018-11-22 09:41:48,2.003s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:48,2018-11-22 09:41:48,0.130s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:48,2018-11-22 09:41:48,0.119s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:48,2018-11-22 09:41:48,0.171s,PASSED
com.powerbi.components.ChartSelect.selectValue,Firefox 63.0,,2018-11-22 09:41:48,2018-11-22 09:41:49,0.827s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:49,2018-11-22 09:41:49,0.190s,PASSED
com.powerbi.components.ChartSelect.setValue,Firefox 63.0,,2018-11-22 09:41:49,2018-11-22 09:41:50,0.154s,PASSED
click,Firefox 63.0,,2018-11-22 09:41:50,2018-11-22 09:41:50,0.378s,PASSED
com.powerbi.components.ChartSelect.hideSetting,Firefox 63.0,,2018-11-22 09:41:50,2018-11-22 09:41:51,0.966s,PASSED
,,,,,,
